INN,STATUS,DATE
1001311890,"активное","16.06.2016"
1001311949,"активное","17.06.2016"
1001312212,"активное","28.06.2016"
1001312484,"активное","06.07.2016"
1001313689,"активное","24.08.2016"
1001314731,"активное","10.10.2016"
1001321432,"активное","09.12.2016"
1001323581,"активное","28.02.2017"
1001323736,"активное","03.03.2017"
1001325540,"активное","25.04.2017"
1001326310,"активное","18.05.2017"
1001328438,"активное","23.08.2017"
1001330003,"активное","03.11.2017"
1001332890,"активное","13.03.2018"
1002004066,"активное","26.11.2002"
1004009951,"активное","20.12.2002"
1004010756,"ликвидированное","01.2017"
1004015803,"активное","01.02.2011"
1004016317,"ликвидированное","09.2015"
1004016758,"активное","08.07.2016"
1004018040,"активное","16.10.2013"
1004018723,"активное","21.09.2017"
1006011681,"в стадии ликвидации","03.2012"
1007019612,"активное","12.01.2011"
1012000286,"ликвидированное","07.2016"
1012004570,"ликвидированное","06.2019"
1012007323,"активное","02.03.2005"
1012007852,"активное","22.03.2006"
1012010044,"ликвидированное","12.2019"
1012010816,"ликвидированное","07.2019"
1012012500,"активное","21.02.2017"
1013800101,"активное","23.12.2005"
1015005187,"активное","29.08.2002"
1015006536,"ликвидированное","11.2018"
1020004380,"активное","20.11.2002"
1020004816,"активное","04.10.2002"
1020009941,"активное","28.02.2005"
1020012246,"активное","27.09.2002"
1020014885,"активное","21.08.2017"
1020014927,"активное","02.10.2017"
1020017780,"активное","29.06.2018"
1020176364,"активное","28.12.2011"
1020176766,"ликвидированное","01.2020"
1020176861,"ликвидированное","10.2019"
1020177061,"ликвидированное","06.2018"
1021504579,"в стадии ликвидации","09.2007"
1101008671,"активное","22.01.2015"
1101009788,"ликвидированное","04.2019"
1101026462,"активное","19.11.2002"
1101028043,"активное","23.10.2002"
1101053498,"ликвидированное","12.2018"
1101053995,"в стадии ликвидации","08.2015"
1101054974,"активное","16.10.2015"
1101055946,"активное","04.12.2015"
1101058256,"активное","27.04.2016"
1101063859,"активное","07.06.2007"
1101069145,"активное","13.10.2008"
1101071056,"активное","24.02.2009"
1101072540,"активное","04.05.2009"
1101083527,"ликвидированное","03.2017"
1101084425,"активное","11.01.2011"
1101086729,"активное","29.04.2011"
1101088660,"ликвидированное","11.2016"
1101089790,"ликвидированное","07.2019"
1101098026,"активное","08.11.2012"
1101120391,"активное","17.01.2005"
1101136715,"активное","25.04.2008"
1101139890,"активное","10.12.2008"
1101141063,"в стадии ликвидации","03.2013"
1101141521,"активное","15.04.2013"
1101147308,"активное","21.01.2014"
1101148245,"ликвидированное","11.2016"
1101152883,"ликвидированное","12.2018"
1101159279,"в стадии ликвидации","09.2017"
1101160130,"активное","20.12.2017"
1102025359,"активное","13.08.2002"
1102028261,"активное","26.09.2002"
1102061999,"активное","30.03.2009"
1102066605,"активное","27.08.2010"
1102069719,"активное","19.12.2011"
1102072630,"активное","22.04.2013"
1102073352,"активное","28.08.2013"
1102075455,"активное","03.10.2014"
1102075575,"активное","28.10.2014"
1102076071,"ликвидированное","01.2020"
1102076427,"активное","22.05.2015"
1103003573,"активное","19.12.2011"
1103007514,"активное","18.02.2013"
1103019580,"активное","22.11.2002"
1104012436,"активное","29.07.2009"
1104014232,"активное","25.10.2016"
1105016747,"активное","12.10.2004"
1105021112,"активное","12.03.2010"
1106015721,"активное","15.11.2002"
1106020859,"активное","31.05.2006"
1106027903,"активное","11.10.2011"
1106028544,"активное","16.03.2012"
1106028819,"активное","25.06.2012"
1106029700,"ликвидированное","10.2017"
1106029724,"ликвидированное","06.2019"
1106029731,"ликвидированное","11.2018"
1106030007,"активное","14.08.2013"
1106030818,"ликвидированное","07.2019"
1106031201,"активное","08.12.2014"
1106031466,"ликвидированное","02.2018"
1106031811,"ликвидированное","02.2018"
1108017724,"ликвидированное","03.2019"
1108023245,"активное","28.08.2015"
1108023622,"активное","20.07.2016"
1121011584,"активное","17.10.2002"
1121015162,"активное","26.07.2006"
1121015596,"активное","25.12.2006"
1121017868,"активное","20.10.2008"
1121020518,"ликвидированное","11.2016"
1121022339,"ликвидированное","03.2019"
1121022900,"ликвидированное","02.2019"
1121023371,"ликвидированное","11.2017"
1121023780,"ликвидированное","11.2018"
1203010013,"ликвидированное","12.2019"
1207006667,"активное","15.12.2002"
1207007318,"активное","30.03.2004"
1207008520,"активное","03.05.2006"
1207011829,"активное","09.12.2009"
1207012340,"активное","09.11.2010"
1207014474,"ликвидированное","02.2017"
1207014587,"ликвидированное","05.2015"
1207015277,"ликвидированное","11.2016"
1207015407,"ликвидированное","11.2018"
1207016224,"ликвидированное","11.2016"
1207016908,"ликвидированное","11.2018"
1207018662,"ликвидированное","11.2016"
1207020407,"активное","24.11.2015"
1207020478,"активное","17.12.2015"
1207020750,"активное","24.03.2016"
1212005323,"активное","04.10.2010"
1215004600,"активное","25.12.2002"
1215049625,"активное","13.09.2002"
1215059165,"активное","21.09.2002"
1215062016,"активное","03.12.2002"
1215073297,"ликвидированное","11.2018"
1215088208,"активное","22.05.2003"
1215091151,"активное","29.10.2003"
1215092067,"активное","15.12.2003"
1215092099,"ликвидированное","02.2015"
1215092412,"активное","31.12.2003"
1215097964,"активное","19.10.2004"
1215098291,"ликвидированное","12.2015"
1215098693,"активное","24.11.2004"
1215099400,"активное","27.12.2004"
1215101593,"активное","06.04.2005"
1215103022,"активное","30.06.2005"
1215106190,"активное","09.11.2005"
1215109955,"ликвидированное","10.2017"
1215114289,"ликвидированное","04.2013"
1215129944,"активное","31.03.2008"
1215135313,"активное","02.10.2008"
1215137102,"ликвидированное","10.2015"
1215137110,"активное","15.12.2008"
1215138339,"активное","19.02.2009"
1215141123,"ликвидированное","01.2017"
1215141490,"активное","16.07.2009"
1215141941,"ликвидированное","04.2017"
1215144004,"активное","18.11.2009"
1215146080,"активное","11.02.2010"
1215147220,"ликвидированное","07.2017"
1215147750,"ликвидированное","08.2019"
1215148930,"ликвидированное","12.2019"
1215154355,"ликвидированное","05.2017"
1215157395,"активное","17.06.2011"
1215157814,"в стадии ликвидации","07.2011"
1215160091,"активное","12.10.2011"
1215161320,"ликвидированное","04.2014"
1215161472,"ликвидированное","09.2018"
1215165332,"ликвидированное","02.2019"
1215165389,"ликвидированное","03.2019"
1215166390,"ликвидированное","04.2017"
1215167837,"ликвидированное","02.2020"
1215168326,"в стадии ликвидации","12.2012"
1215168693,"активное","20.12.2012"
1215168816,"ликвидированное","08.2015"
1215171583,"активное","15.04.2013"
1215171914,"активное","26.04.2013"
1215174023,"активное","30.07.2013"
1215175411,"ликвидированное","06.2019"
1215175517,"ликвидированное","04.2015"
1215177970,"ликвидированное","06.2017"
1215179021,"активное","07.03.2014"
1215179078,"ликвидированное","11.2016"
1215180330,"активное","18.04.2014"
1215181091,"активное","23.05.2014"
1215182659,"ликвидированное","11.2016"
1215185875,"активное","24.12.2014"
1215187343,"активное","05.03.2015"
1215187840,"ликвидированное","07.2019"
1215188548,"активное","22.04.2015"
1215191597,"активное","02.09.2015"
1215191942,"активное","16.09.2015"
1215203450,"активное","13.11.2015"
1215209325,"активное","05.04.2016"
1215209371,"ликвидированное","03.2019"
1215212078,"ликвидированное","05.2019"
1215212127,"ликвидированное","02.2019"
1215213321,"активное","29.09.2016"
1215213762,"активное","20.10.2016"
1215215262,"ликвидированное","11.2019"
1215217485,"активное","30.03.2017"
1215218778,"активное","06.06.2017"
1216009640,"активное","14.12.2002"
1216018450,"ликвидированное","01.2017"
1216018838,"активное","15.01.2010"
1216021781,"ликвидированное","05.2018"
1216023411,"активное","11.11.2014"
1216024990,"ликвидированное","05.2019"
1216025000,"ликвидированное","05.2019"
1216025017,"активное","19.02.2016"
1216025024,"ликвидированное","05.2019"
1216025786,"активное","20.05.2016"
1216025874,"активное","26.05.2016"
1217002848,"активное","17.09.2002"
1217006955,"активное","04.08.2014"
1217007290,"ликвидированное","10.2018"
1218000138,"ликвидированное","05.2019"
1218000811,"ликвидированное","10.2018"
1218001886,"активное","27.06.2018"
1224002239,"активное","17.03.2016"
1224003352,"ликвидированное","09.2018"
1224003602,"ликвидированное","09.2018"
1224003948,"активное","25.04.2017"
1224004035,"активное","17.05.2017"
1224004130,"в стадии ликвидации","06.2017"
1224004620,"активное","03.10.2017"
1224005617,"активное","18.04.2018"
1301064401,"ликвидированное","07.2018"
1301401424,"ликвидированное","10.2018"
1301401431,"ликвидированное","10.2018"
1301401456,"ликвидированное","11.2019"
1301401463,"ликвидированное","01.2020"
1301401470,"ликвидированное","11.2019"
1301401488,"ликвидированное","11.2019"
1301401495,"ликвидированное","11.2019"
1301401569,"ликвидированное","05.2017"
1301401576,"ликвидированное","05.2017"
1302000560,"ликвидированное","06.2013"
1303000259,"активное","20.04.2017"
1304000276,"активное","07.06.2016"
1304070386,"ликвидированное","12.2019"
1304070763,"ликвидированное","10.2015"
1305000014,"ликвидированное","02.2019"
1305072805,"ликвидированное","12.2015"
1305072844,"ликвидированное","07.2018"
1305072869,"ликвидированное","12.2015"
1305072883,"ликвидированное","07.2018"
1305072940,"ликвидированное","03.2018"
1305072957,"ликвидированное","03.2018"
1305073125,"ликвидированное","06.2016"
1305073140,"ликвидированное","06.2016"
1305073157,"активное","30.04.2009"
1305073189,"ликвидированное","03.2018"
1306076288,"активное","05.03.2007"
1308083097,"активное","16.02.2007"
1308083114,"ликвидированное","02.2017"
1310187618,"активное","28.02.2007"
1314000194,"ликвидированное","11.2017"
1314000814,"ликвидированное","02.2020"
1318000660,"активное","27.03.2007"
1318000780,"активное","08.11.2007"
1318012070,"активное","30.08.2002"
1319001811,"активное","03.12.2015"
1320000570,"ликвидированное","03.2018"
1320000587,"ликвидированное","03.2018"
1320000636,"ликвидированное","03.2018"
1320000749,"ликвидированное","03.2018"
1320000756,"ликвидированное","06.2018"
1322120417,"ликвидированное","01.2018"
1324000411,"ликвидированное","08.2017"
1324002391,"активное","13.11.2017"
1324133531,"активное","13.07.2006"
1324133958,"активное","15.03.2007"
1324134920,"активное","24.11.2008"
1324135426,"активное","06.08.2009"
1326178432,"активное","11.11.2002"
1326210051,"активное","16.02.2009"
1326210076,"в стадии ликвидации","02.2009"
1326212972,"ликвидированное","12.2016"
1326213221,"ликвидированное","03.2017"
1326216656,"ликвидированное","11.2018"
1326216889,"ликвидированное","10.2014"
1326218710,"ликвидированное","12.2016"
1326219657,"ликвидированное","07.2013"
1326222723,"ликвидированное","10.2018"
1326223950,"ликвидированное","09.2016"
1326224449,"активное","22.03.2013"
1326228549,"активное","14.07.2014"
1326229528,"ликвидированное","10.2019"
1326230040,"активное","21.01.2015"
1326232055,"ликвидированное","12.2018"
1326233980,"активное","18.02.2016"
1326234366,"активное","21.03.2016"
1326234430,"активное","28.03.2016"
1326247076,"активное","29.11.2016"
1326247157,"ликвидированное","08.2019"
1326248288,"активное","07.04.2017"
1326249154,"ликвидированное","01.2020"
1326249669,"активное","04.09.2017"
1326249845,"активное","02.10.2017"
1327009973,"активное","03.03.2010"
1327012831,"активное","04.03.2011"
1327012888,"активное","18.03.2011"
1327015529,"активное","29.02.2012"
1327015536,"активное","05.03.2012"
1327016353,"активное","15.06.2012"
1327016628,"ликвидированное","01.2020"
1327016850,"ликвидированное","08.2018"
1327020582,"ликвидированное","12.2019"
1327020945,"ликвидированное","09.2018"
1327021040,"ликвидированное","09.2019"
1327022808,"активное","20.10.2014"
1327023181,"ликвидированное","12.2019"
1327025975,"активное","04.12.2015"
1327026520,"активное","02.02.2016"
1327026707,"активное","20.02.2016"
1327027852,"ликвидированное","01.2020"
1327028944,"активное","17.11.2016"
1327029673,"активное","21.02.2017"
1327030478,"ликвидированное","02.2019"
1327030630,"активное","19.07.2017"
1327032034,"активное","05.03.2018"
1328001279,"активное","03.11.2009"
1328001952,"ликвидированное","06.2017"
1328004329,"ликвидированное","07.2019"
1328009937,"активное","10.11.2014"
1328011076,"активное","10.06.2015"
1328012954,"ликвидированное","10.2019"
1328014292,"активное","18.01.2017"
1328015521,"активное","03.11.2017"
1328015560,"активное","15.11.2017"
1328016388,"активное","15.06.2018"
1328903220,"ликвидированное","11.2016"
1328911158,"активное","27.11.2008"
1402011639,"активное","23.07.2002"
1402016041,"ликвидированное","12.2016"
1402018850,"активное","16.03.2015"
1402023225,"активное","05.04.2018"
1402047628,"активное","14.12.2007"
1402048170,"ликвидированное","09.2018"
1402049150,"активное","11.02.2010"
1415012527,"ликвидированное","12.2018"
1421006183,"активное","25.12.2002"
1434028787,"ликвидированное","07.2017"
1434032159,"активное","04.04.2006"
1434033804,"активное","07.03.2007"
1434047003,"активное","22.07.2014"
1434047652,"ликвидированное","01.2019"
1434049145,"активное","14.06.2016"
1435115270,"ликвидированное","07.2017"
1435118994,"ликвидированное","11.2019"
1435129379,"активное","08.08.2002"
1435145451,"ликвидированное","06.2016"
1435150349,"ликвидированное","11.2017"
1435159824,"активное","20.05.2005"
1435167751,"ликвидированное","12.2018"
1435167889,"ликвидированное","12.2019"
1435168900,"активное","27.02.2006"
1435179612,"ликвидированное","05.2018"
1435183249,"активное","03.02.2007"
1435191666,"ликвидированное","09.2017"
1435198630,"активное","04.03.2008"
1435210213,"активное","09.12.2008"
1435211400,"активное","15.01.2009"
1435223445,"активное","28.12.2009"
1435224696,"активное","05.02.2010"
1435224713,"активное","05.02.2010"
1435231647,"ликвидированное","04.2015"
1435235105,"активное","03.12.2010"
1435236170,error,error
1435236444,"ликвидированное","11.2019"
1435241444,"ликвидированное","06.2017"
1435249926,"активное","09.02.2012"
1435252816,"активное","12.04.2012"
1435256289,"активное","11.07.2012"
1435258247,"ликвидированное","08.2015"
1435262187,"активное","21.12.2012"
1435267354,"активное","29.04.2013"
1435268693,"активное","04.06.2013"
1435270519,"активное","30.07.2013"
1435274841,"активное","03.12.2013"
1435281422,"активное","12.05.2014"
1435281430,"активное","12.05.2014"
1435281447,"активное","12.05.2014"
1435282320,"активное","04.06.2014"
1435283250,"активное","30.06.2014"
1435285836,"активное","16.09.2014"
1435293097,"ликвидированное","08.2019"
1435293361,"активное","27.03.2015"
1435296362,"активное","09.06.2015"
1435298120,"активное","03.08.2015"
1435299028,"активное","31.08.2015"
1435300072,"активное","02.10.2015"
1435303073,"активное","11.01.2016"
1435303147,"активное","12.01.2016"
1435305240,"активное","26.02.2016"
1435308988,"ликвидированное","09.2018"
1435313579,"активное","03.11.2016"
1435315424,"активное","19.12.2016"
1435322710,"активное","07.07.2017"
1435322767,"активное","07.07.2017"
1435326987,"активное","20.11.2017"
1435327275,"активное","29.11.2017"
1501020634,"активное","08.10.2002"
1501036722,"активное","23.06.2004"
1502023042,"ликвидированное","06.2019"
1502047131,"активное","18.03.2004"
1503015767,"активное","31.10.2002"
1503019024,"в стадии ликвидации","10.2003"
1503019313,"активное","17.12.2003"
1503019345,"активное","19.12.2003"
1504027814,"активное","22.11.2002"
1506006376,"активное","21.11.2003"
1510009370,"активное","24.04.2012"
1510015976,"активное","31.08.2009"
1510016345,"ликвидированное","10.2017"
1510018208,"активное","03.10.2017"
1511011082,"активное","09.12.2002"
1511012618,"активное","29.03.2004"
1511018426,"активное","27.02.2010"
1511018634,"ликвидированное","09.2019"
1511018810,"активное","09.11.2010"
1511025656,"активное","12.09.2013"
1511026603,"ликвидированное","02.2019"
1511027741,"активное","22.02.2018"
1512017351,"активное","09.12.2011"
1512019334,"активное","28.01.2015"
1512019976,"активное","22.06.2016"
1512020675,"активное","29.08.2018"
1513004531,"активное","22.02.2011"
1513033973,"ликвидированное","09.2015"
1513034695,"активное","27.06.2012"
1513035508,"ликвидированное","09.2019"
1513041692,"активное","17.05.2013"
1513044541,"активное","16.10.2013"
1513045150,"активное","22.11.2013"
1513045545,"активное","16.12.2013"
1513046813,"ликвидированное","06.2015"
1513046926,"активное","14.02.2014"
1513047052,"активное","20.02.2014"
1513048521,"ликвидированное","07.2018"
1513051980,"активное","11.12.2014"
1513052990,"активное","05.03.2015"
1513053306,"активное","18.03.2015"
1513055085,"активное","22.06.2015"
1513055543,"ликвидированное","01.2020"
1513055977,"активное","18.08.2015"
1513056890,"активное","03.11.2015"
1513058368,"ликвидированное","09.2019"
1513058801,"активное","03.03.2016"
1513059675,"активное","20.04.2016"
1513060342,"активное","03.06.2016"
1513061811,"активное","14.09.2016"
1513063865,"активное","15.02.2017"
1513064202,"активное","10.03.2017"
1513064241,"активное","15.03.2017"
1514003562,"активное","30.07.2007"
1514010425,"ликвидированное","12.2019"
1514011010,"активное","05.09.2012"
1514012817,"активное","31.01.2014"
1514013070,"активное","11.07.2014"
1514013793,"активное","06.08.2015"
1514013803,"активное","06.08.2015"
1514014170,"активное","21.01.2016"
1514014620,"активное","20.10.2016"
1514015670,"активное","15.02.2018"
1515900325,"ликвидированное","02.2018"
1515909110,"ликвидированное","11.2016"
1515920843,"ликвидированное","08.2019"
1516609126,"активное","08.08.2005"
1516609704,"активное","18.12.2005"
1516618650,"ликвидированное","04.2019"
1516620592,"активное","07.10.2009"
1516622261,"ликвидированное","05.2019"
1601008768,"активное","07.12.2015"
1604004930,"ликвидированное","06.2017"
1604005540,"активное","17.06.2003"
1604007530,"активное","27.07.2006"
1604009872,"активное","25.02.2013"
1604010268,"ликвидированное","12.2018"
1604010691,"активное","11.10.2016"
1604010780,"активное","15.06.2017"
1611005396,"активное","11.12.2002"
1611009094,"ликвидированное","04.2019"
1612003426,"активное","30.11.2002"
1612007029,"ликвидированное","02.2016"
1612007702,"ликвидированное","03.2015"
1612007967,"активное","15.11.2011"
1612008329,"ликвидированное","08.2015"
1612008350,"активное","27.03.2013"
1612008826,"в стадии ликвидации","03.2015"
1612008840,"активное","25.03.2015"
1614012730,"ликвидированное","06.2019"
1616005583,"ликвидированное","09.2014"
1616006139,"ликвидированное","12.2019"
1616011428,"активное","20.01.2003"
1616015038,"ликвидированное","05.2014"
1616017155,"активное","06.04.2007"
1616018751,"активное","16.09.2008"
1616019868,"ликвидированное","11.2019"
1616021810,"ликвидированное","04.2016"
1616021835,"ликвидированное","11.2016"
1616021874,"ликвидированное","04.2016"
1616022606,"активное","05.12.2012"
1616024522,"активное","11.10.2013"
1616024561,"активное","11.10.2013"
1616025170,"ликвидированное","12.2019"
1616025484,"ликвидированное","09.2015"
1616025773,"активное","11.07.2014"
1616027932,"ликвидированное","06.2019"
1616028326,"активное","01.09.2015"
1616028333,"ликвидированное","06.2019"
1616031223,"активное","26.04.2018"
1619003520,"ликвидированное","01.2017"
1619003601,"ликвидированное","10.2015"
1619004010,"активное","14.12.2004"
1619005535,"активное","07.09.2010"
1619005609,"ликвидированное","11.2016"
1619005849,"ликвидированное","04.2015"
1619007162,"активное","03.04.2018"
1622004059,"активное","09.04.2003"
1622005648,"активное","10.11.2009"
1623010697,"активное","03.03.2009"
1623010873,"ликвидированное","04.2014"
1623011098,"активное","05.02.2010"
1623011718,"ликвидированное","03.2017"
1623012045,"ликвидированное","02.2015"
1623012380,"активное","02.12.2013"
1623012550,"активное","11.02.2014"
1623012768,"ликвидированное","11.2016"
1623013497,"активное","25.02.2016"
1624004368,"активное","14.10.2002"
1624012263,"активное","16.07.2010"
1624012390,"активное","30.09.2010"
1624012714,"активное","17.02.2011"
1624446430,"ликвидированное","07.2017"
1624446535,"активное","09.01.2014"
1626013350,"активное","18.12.2012"
1627006074,"активное","13.02.2007"
1627009910,"активное","05.06.2015"
1628008300,"активное","09.09.2009"
1628010355,"активное","05.06.2015"
1628010490,"активное","10.02.2016"
1628010517,"активное","14.03.2016"
1631003196,"активное","21.09.2004"
1631004601,"активное","17.10.2012"
1632015638,"активное","20.03.2015"
1632016840,"активное","26.01.2017"
1632016984,"активное","29.08.2017"
1632017219,"ликвидированное","12.2019"
1633002991,"ликвидированное","08.2019"
1633004526,"ликвидированное","02.2017"
1633007365,"активное","24.08.2017"
1633608662,"активное","18.03.2014"
1633608870,"ликвидированное","08.2019"
1633608888,"ликвидированное","08.2019"
1633608895,"ликвидированное","08.2019"
1634009245,"активное","18.03.2016"
1634009326,"активное","25.08.2016"
1634009380,"активное","10.02.2017"
1635004673,"активное","28.07.2003"
1635007219,"активное","09.07.2007"
1635009054,"активное","24.08.2010"
1635009456,"ликвидированное","02.2017"
1635009576,"активное","23.01.2012"
1635010878,"активное","26.03.2015"
1635011776,"активное","06.02.2017"
1635012040,"активное","05.10.2017"
1635012321,"ликвидированное","12.2019"
1635012427,"активное","12.07.2018"
1636004355,"активное","20.01.2003"
1639002885,"активное","02.12.2002"
1639016091,"активное","20.11.2002"
1639018324,"активное","10.11.2002"
1639021574,"активное","10.01.2003"
1639025138,"активное","07.03.2003"
1639027576,"активное","29.03.2004"
1639027946,"активное","14.05.2004"
1639028280,"активное","24.06.2004"
1639030152,"активное","30.03.2005"
1639034100,"активное","23.08.2006"
1639035190,"активное","07.02.2007"
1639035312,"активное","21.02.2007"
1639037687,"активное","18.12.2007"
1639038289,"ликвидированное","02.2019"
1639039081,"активное","22.07.2008"
1639039268,"ликвидированное","07.2019"
1639040760,"ликвидированное","03.2018"
1639041757,"активное","03.11.2009"
1639042180,"активное","15.01.2010"
1639042768,"ликвидированное","08.2016"
1639045575,"активное","17.06.2011"
1639045984,"ликвидированное","08.2019"
1639046931,"активное","22.05.2012"
1639047540,"активное","02.11.2012"
1639047685,"активное","05.12.2012"
1639048343,"активное","04.04.2013"
1639048865,"активное","19.08.2013"
1639049033,"ликвидированное","11.2016"
1639049210,"активное","20.11.2013"
1639049386,"активное","29.01.2014"
1639049587,"ликвидированное","11.2016"
1639051145,"активное","05.05.2015"
1639051191,"активное","19.05.2015"
1639051378,"ликвидированное","07.2019"
1639051667,"активное","04.09.2015"
1639056707,"активное","18.01.2016"
1639056954,"активное","20.04.2016"
1639057034,"активное","20.04.2016"
1642005406,"ликвидированное","04.2016"
1642210910,"активное","31.03.2015"
1643010871,"ликвидированное","10.2017"
1643012050,"активное","06.07.2011"
1643012702,"ликвидированное","12.2015"
1643014629,"активное","04.02.2016"
1643015012,"активное","21.09.2016"
1643015453,"активное","25.10.2017"
1644003926,"активное","13.03.2015"
1644004302,"активное","20.03.2015"
1644028208,"активное","26.06.2003"
1644034258,"активное","18.07.2005"
1644034473,"активное","10.08.2005"
1644035533,"активное","01.12.2005"
1644041174,"активное","18.09.2006"
1644052240,"активное","09.07.2015"
1644053243,"активное","01.12.2015"
1644053268,"активное","01.12.2015"
1644056526,"активное","16.09.2009"
1644062181,"ликвидированное","02.2018"
1644065143,"в стадии ликвидации","05.2012"
1644069733,"активное","06.12.2013"
1644070288,"ликвидированное","11.2016"
1644072158,"активное","02.09.2014"
1644089810,"ликвидированное","12.2019"
1644091873,"активное","19.04.2018"
1644092637,"активное","01.08.2018"
1645009889,"активное","27.11.2002"
1645012514,"активное","20.11.2002"
1645023690,"активное","30.07.2008"
1645024301,"ликвидированное","07.2016"
1645026468,"активное","20.01.2011"
1645027944,"ликвидированное","10.2016"
1645029187,"активное","02.12.2013"
1645030263,"активное","14.01.2015"
1645030859,"активное","20.08.2015"
1645031228,"в стадии ликвидации","01.2016"
1645031404,"активное","22.03.2016"
1645032366,"активное","15.08.2017"
1645032609,"активное","05.12.2017"
1646017113,"активное","06.05.2005"
1646022145,"активное","19.09.2007"
1646023237,"активное","25.03.2008"
1646023741,"активное","19.06.2008"
1646027305,"активное","28.04.2010"
1646027471,"активное","07.06.2010"
1646028242,"активное","01.11.2010"
1646035560,"активное","26.07.2013"
1646037462,"ликвидированное","07.2018"
1646039854,"активное","04.02.2015"
1646039886,"активное","12.02.2015"
1646040169,"активное","18.03.2015"
1646040377,"активное","17.04.2015"
1646043272,"активное","25.08.2016"
1647013312,"активное","17.03.2008"
1647014186,"активное","05.11.2009"
1647014203,"ликвидированное","07.2019"
1648007745,"активное","23.12.2002"
1648015601,"активное","12.10.2004"
1648018786,"активное","25.04.2006"
1648028449,"активное","28.06.2010"
1648031018,"активное","01.04.2011"
1648033150,"ликвидированное","01.2015"
1648039176,"активное","11.11.2014"
1648039190,"активное","11.11.2014"
1648040950,"активное","09.07.2015"
1648041457,"ликвидированное","10.2019"
1649014142,"активное","12.07.2006"
1649014583,"активное","22.11.2006"
1649017834,"активное","28.09.2009"
1649019461,"ликвидированное","02.2017"
1649020481,"активное","18.03.2013"
1649022746,"активное","23.11.2015"
1650066949,"активное","19.01.2003"
1650070670,"ликвидированное","12.2017"
1650081680,"ликвидированное","08.2015"
1650107730,"ликвидированное","09.2019"
1650127486,"ликвидированное","08.2019"
1650127542,"активное","03.05.2005"
1650137318,"активное","26.02.2006"
1650138720,"активное","31.03.2006"
1650144322,"активное","27.07.2006"
1650151760,"активное","18.01.2007"
1650152443,"активное","29.01.2007"
1650154994,"в стадии ликвидации","03.2007"
1650156046,"активное","05.04.2007"
1650156127,"активное","06.04.2007"
1650159512,"ликвидированное","05.2015"
1650159640,"активное","15.06.2007"
1650171911,"активное","29.02.2008"
1650177960,"активное","27.06.2008"
1650181684,"ликвидированное","09.2019"
1650185872,"ликвидированное","04.2019"
1650189972,"активное","13.03.2009"
1650196828,"активное","16.09.2009"
1650197740,"активное","05.10.2009"
1650199378,"ликвидированное","01.2020"
1650199480,"ликвидированное","05.2019"
1650203602,"ликвидированное","05.2019"
1650205342,"активное","24.03.2010"
1650213907,"активное","13.10.2010"
1650214442,"ликвидированное","08.2019"
1650217210,"активное","23.12.2010"
1650220090,"ликвидированное","07.2017"
1650221496,"ликвидированное","02.2015"
1650224120,"активное","05.05.2011"
